filename, language, HTML, TypeScript, CSS, comment, blank, total
c:\Users\Matea\Desktop\IndianaJones\src\app\component.directive.spec.ts, TypeScript, 0, 7, 0, 0, 2, 9
c:\Users\Matea\Desktop\IndianaJones\src\app\component.directive.ts, TypeScript, 0, 7, 0, 0, 4, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\componentMap.ts, TypeScript, 0, 20, 0, 0, 2, 22
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.css, CSS, 0, 0, 9, 0, 3, 12
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.html, HTML, 17, 0, 0, 0, 3, 20
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\footer\footer.component.ts, TypeScript, 0, 11, 0, 0, 5, 16
c:\Users\Matea\Desktop\IndianaJones\src\app\interfaces\adapter.ts, TypeScript, 0, 3, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\interfaces\stranica-component.ts, TypeScript, 0, 3, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\login\login.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\login\login.component.html, HTML, 35, 0, 0, 0, 5, 40
c:\Users\Matea\Desktop\IndianaJones\src\app\login\login.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\login\login.component.ts, TypeScript, 0, 70, 0, 0, 7, 77
c:\Users\Matea\Desktop\IndianaJones\src\app\models\adapter.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\adapter.ts, TypeScript, 0, 11, 0, 0, 2, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\models\application.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\application.ts, TypeScript, 0, 8, 0, 0, 3, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\models\component-item.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\component-item.ts, TypeScript, 0, 4, 0, 0, 2, 6
c:\Users\Matea\Desktop\IndianaJones\src\app\models\modul-adapter.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\modul-adapter.ts, TypeScript, 0, 11, 0, 0, 3, 14
c:\Users\Matea\Desktop\IndianaJones\src\app\models\modul.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\modul.ts, TypeScript, 0, 8, 0, 0, 3, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\models\stranica.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\stranica.ts, TypeScript, 0, 8, 0, 0, 3, 11
c:\Users\Matea\Desktop\IndianaJones\src\app\models\stranice-adapter.spec.ts, TypeScript, 0, 6, 0, 0, 2, 8
c:\Users\Matea\Desktop\IndianaJones\src\app\models\stranice-adapter.ts, TypeScript, 0, 15, 0, 1, 4, 20
c:\Users\Matea\Desktop\IndianaJones\src\app\navigation\navigation.component.css, CSS, 0, 0, 3, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\navigation\navigation.component.html, HTML, 20, 0, 0, 16, 3, 39
c:\Users\Matea\Desktop\IndianaJones\src\app\navigation\navigation.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\navigation\navigation.component.ts, TypeScript, 0, 22, 0, 1, 6, 29
c:\Users\Matea\Desktop\IndianaJones\src\app\permissions\has-permission.directive.spec.ts, TypeScript, 0, 7, 0, 0, 2, 9
c:\Users\Matea\Desktop\IndianaJones\src\app\permissions\has-permission.directive.ts, TypeScript, 0, 26, 0, 0, 7, 33
c:\Users\Matea\Desktop\IndianaJones\src\app\permissions\permission.query.ts, TypeScript, 0, 17, 0, 0, 6, 23
c:\Users\Matea\Desktop\IndianaJones\src\app\permissions\permission.store.ts, TypeScript, 0, 19, 0, 0, 6, 25
c:\Users\Matea\Desktop\IndianaJones\src\app\protected\protected.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\protected\protected.component.html, HTML, 2, 0, 0, 0, 1, 3
c:\Users\Matea\Desktop\IndianaJones\src\app\protected\protected.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\protected\protected.component.ts, TypeScript, 0, 15, 0, 0, 6, 21
c:\Users\Matea\Desktop\IndianaJones\src\app\services\local-storage.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\services\local-storage.service.ts, TypeScript, 0, 23, 0, 0, 9, 32
c:\Users\Matea\Desktop\IndianaJones\src\app\services\session-data.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\services\session-data.service.ts, TypeScript, 0, 28, 0, 0, 6, 34
c:\Users\Matea\Desktop\IndianaJones\src\app\services\session.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\services\session.service.ts, TypeScript, 0, 18, 0, 0, 7, 25
c:\Users\Matea\Desktop\IndianaJones\src\app\services\user-service.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
c:\Users\Matea\Desktop\IndianaJones\src\app\services\user-service.service.ts, TypeScript, 0, 45, 0, 0, 8, 53
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test1\test1.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test1\test1.component.html, HTML, 9, 0, 0, 0, 1, 10
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test1\test1.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
